pages,volume,title,abstract,llm_location,reference type,record number,year,date,url,journal,index,short title,notes,issue,issn,accession number,decision,explanation,doi
52-7,47,Strategies for immunisation against rubella: evidence from a study in the Kalutara District,"Objective To simulate different immunisation programs against rubella and estimate the proportion of the population susceptible to rubella infection of each.

Methods The impact of 3 immunisation schedules on the susceptibility of women of childbearing age and the community to rubella infection was simulated using a probabilistic approach. The first schedule involved selective immunisation of 12-year old girls, the second immunisation of all children at 3 years of age for different immunisation coverages, and the third comprised a combination of the first two. The proportion of different segments of the population currently susceptible to rubella was obtained from a field study conducted in the Kalutara District in 1999.

Results An immunisation program of 12-year old girls will reduce the susceptibility to rubella in 5 years in only the 15 to 19 year age group. In 10 years, the susceptibility in both the 15 to 19 and 20 to 24 year age groups will be reduced. Immunisation only of children at 3 years will take 20 years for a reduction in the susceptibility to rubella infection in the 15 to 19 year and the 20 to 24 year age groups, and the proportion of the population susceptible to rubella can be reduced to less than 10% in 20 years if 90% coverage is attained. If a combination of the two strategies ie. selective immunisation of girls at 12 years for 10 years and immunisation of all children at 3 years is adopted, the proportion of the community susceptible to rubella will be less than 14% in 10 years.

Conclusions The combination of immunising girls at 12 years of age for 10 years and all children at 3 years of age against rubella is recommended for Sri Lanka to reduce the risk of congenital rubella syndrome in the short term and the proportion susceptible to rubella in the community in the long term.",Kalutara District; Sri Lanka, Journal Article,410527,2002,Jun,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med4&DO=10.4038%2fcmj.v47i2.3453,Ceylon Medical Journal,538271,Strategies for immunisation against rubella: evidence from a study in the Kalutara District,"Palihawadana, P Wickremasinghe, A R Perera, J",2,0009-0875,"12140879 Child Child, Preschool Disease Susceptibility Female Humans Male Models, Theoretical Pregnancy Rubella/im [Immunology] *Rubella/pc [Prevention & Control] *Rubella Vaccine/ad [Administration & Dosage] Sri Lanka *Vaccination 0 (Rubella Vaccine)",Include,"The abstract pertains to a simulation study, which indicates the use of a mathematical model to evaluate different immunisation strategies against rubella, an infectious disease. It also estimates a clinical outcome, i.e., the proportion of the population susceptible to rubella infection, aligning with the inclusion criteria.",https://dx.doi.org/10.4038/cmj.v47i2.3453
2144-55,18,Syringe exchange in the United States: a national level economic evaluation of hypothetical increases in investment,"To examine whether increasing investment in needle/syringe exchange programs (NSPs) in the US would be cost-effective for HIV prevention, we modeled HIV incidence in hypothetical cases with higher NSP syringe supply than current levels, and estimated number of infections averted, cost per infection averted, treatment costs saved, and financial return on investment. We modified Pinkerton's model, which was an adaptation of Kaplan's simplified needle circulation theory model, to compare different syringe supply levels, account for syringes from non-NSP sources, and reflect reduction in syringe sharing and contamination. With an annual $10 to $50 million funding increase, 194-816 HIV infections would be averted (cost per infection averted $51,601-$61,302). Contrasted with HIV treatment cost savings alone, the rate of financial return on investment would be 7.58-6.38. Main and sensitivity analyses strongly suggest that it would be cost-saving for the US to invest in syringe exchange expansion.",United States, Journal Article,257232,2014,"Nov Research Support, Non-U.S. Gov't",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med11&DO=10.1007%2fs10461-014-0789-9,AIDS & Behavior,109062,Syringe exchange in the United States: a national level economic evaluation of hypothetical increases in investment,"Nguyen, Trang Quynh Weir, Brian W Des Jarlais, Don C Pinkerton, Steven D Holtgrave, David R F31 DA026763 T32 AI102623",11,1573-3254,"24824043 Cost Savings/mt [Methods] Cost-Benefit Analysis Female HIV Infections/ec [Economics] HIV Infections/ep [Epidemiology] HIV Infections/pc [Prevention & Control] Health Care Costs/sn [Statistics & Numerical Data] Humans Male Models, Economic *Needle-Exchange Programs/ec [Economics] Needle-Exchange Programs/mt [Methods] Substance Abuse, Intravenous/ec [Economics] Substance Abuse, Intravenous/ep [Epidemiology] United States/ep [Epidemiology]",Include,"The study uses a modified mathematical model to evaluate the cost-effectiveness of needle exchange programs for HIV prevention in humans, fulfilling the inclusion criteria of presenting a clinical outcome of an infectious disease (HIV). It also provides an economic evaluation, which is within the scope of health systems outcomes. The study includes sensitivity analyses and is published as original primary peer-reviewed research, meeting the requirement for inclusion.",https://dx.doi.org/10.1007/s10461-014-0789-9
1835-8,61,The Impact of Age on the Efficacy of 13-valent Pneumococcal Conjugate Vaccine in Elderly,"In a post hoc analysis of the Community-Acquired Pneumonia (CAP) immunization Trial in Adults the model-predicted 13-valent pneumococcal conjugate vaccine efficacy for preventing vaccine-type specific CAP and Invasive Pneumococcal Disease declined from 65% to 40% for subjects being 65 and 75 year olds at the time of vaccination, respectively.",NA, Journal Article,234851,2015,Dec-15,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med12&DO=10.1093%2fcid%2fciv686 Huijts, Susanne M. Julius Center for Health Sciences and Primary Care Department of Pulmonary Medicine. Bolkenbaas, Marieke. Julius Center for Health Sciences and Primary Care. Grobbee, Diederick E. Julius Center for Health Sciences and Primary Care. Bonten, Marc J M. Julius Center for Health Sciences and Primary Care Department of Medical Microbiology, University Medical Center Utrecht, The Netherlands.",Clinical Infectious Diseases,307266,The Impact of Age on the Efficacy of 13-valent Pneumococcal Conjugate Vaccine in Elderly,"van Werkhoven, Cornelis H Huijts, Susanne M Bolkenbaas, Marieke Grobbee, Diederick E Bonten, Marc J M",12,1537-6591,"26265498 Aged Aged, 80 and over Double-Blind Method Female Humans Male *Pneumococcal Infections/pc [Prevention & Control] *Pneumococcal Vaccines/ad [Administration & Dosage] *Pneumococcal Vaccines/im [Immunology] Treatment Outcome 0 (13-valent pneumococcal vaccine) 0 (Pneumococcal Vaccines)",Include,The abstract presents a mathematical model predicting the efficacy of a vaccine related to infectious diseases (community-acquired pneumonia and invasive pneumococcal disease) with specific human clinical outcomes across different ages. It fits the inclusion criteria as it involves a model with clinical outcomes related to an infectious disease.,https://dx.doi.org/10.1093/cid/civ686
,12(4) (no pagination),The Impact of Asymptomatic Human Immunodeficiency Virus-Positive Disease Status on Inpatient Complications Following Spine Surgery: A Propensity Score-Matched Analysis,"In the United States, nearly 1.2 million people > 12 years old have human immunodeficiency virus (HIV), which is associated with postoperative complications following orthopedic procedures. Little is known about how asymptomatic HIV (AHIV) patients fare postoperatively. This study compares complications after common spine surgeries between patients with and without AHIV. The Nationwide Inpatient Sample (NIS) was retrospectively reviewed from 2005-2013, identifying patients aged > 18 years who underwent 2-3-level anterior cervical discectomy and fusion (ACDF), >=4-level thoracolumbar fusion (TLF), or 2-3-level lumbar fusion (LF). Patients with AHIV and without HIV were 1:1 propensity score-matched. Univariate analysis and multivariable binary logistic regression were performed to assess associations between HIV status and outcomes by cohort. 2-3-level ACDF (n = 594 total patients) and >=4-level TLF (n = 86 total patients) cohorts demonstrated comparable length of stay (LOS), rates of wound-related, implant-related, medical, surgical, and overall complications between AHIV and controls. 2-3-level LF (n = 570 total patients) cohorts had comparable LOS, implant-related, medical, surgical, and overall complications. AHIV patients experienced higher postoperative respiratory complications (4.3% vs. 0.4%,). AHIV was not associated with higher risks of medical, surgical, or overall inpatient postoperative complications following most spine surgical procedures. The results suggest the postoperative course may be improved in patients with baseline control of HIV infection. Copyright © 2023 by the authors.",United States, Journal Article,628627,2023,February,"https://www.mdpi.com/journal/jcm https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.3390%2fjcm12041458 (Oad) Department of Radiology, Nassau University Medical Center, Hempstead, NY 11550, United States (Nunna) Department of Neurological Surgery, University of Missouri Columbia, Columbia, MO 65211, United States (Lafage, Schwab, Lafage) Department of Orthopaedic Surgery, Northwell Health Lenox Hill Hospital, New York, NY 10075, United States (Challier) Spine Unit 1, Orthopedic Surgery Department, Bordeaux University Hospital, Bordeaux 33400, France (Merola, Paulino) Department of Orthopaedic Surgery, NewYork-Presbyterian Brooklyn Methodist Hospital, Brooklyn, NY 11215, United States (Passias) Department of Orthopaedic Surgery, NYU Langone Orthopedic Hospital, New York, NY 10021, United States (Diebo) Department of Orthopaedic Surgery, Warren Alpert School of Medicine, Brown University, East Providence, RI 02912, United States",Journal of Clinical Medicine,524078,The Impact of Asymptomatic Human Immunodeficiency Virus-Positive Disease Status on Inpatient Complications Following Spine Surgery: A Propensity Score-Matched Analysis,Embase,,2077-0383 (electronic) 2077-0383,2021777402 asymptomatic HIV complications lumbar fusion thoracolumbar fusion acute kidney failure adult adult respiratory distress syndrome anemia article asymptomatic disease cervicobrachial neuralgia/su [Surgery] clinical outcome cohort analysis comparative study controlled study deep vein thrombosis disease association female gastrointestinal disease heart disease hematoma hospital patient human Human immunodeficiency virus Human immunodeficiency virus infection idiopathic scoliosis/su [Surgery] implant infection/co [Complication] infection intervertebral disk degeneration/su [Surgery] length of stay lumbar spine major clinical study male medical device complication/co [Complication] mental disease middle aged multivariate logistic regression analysis outcome assessment peripheral vascular disease pneumonia postoperative complication/co [Complication] postoperative period propensity score respiratory tract disease retrospective study spinal cord disease/su [Surgery] spine fusion spine surgery surgical technique thoracic spine United States univariate analysis urinary tract disease wound dehiscence wound infection implant/am [Adverse Device Effect],Include,"The study employs a logistic regression model which qualifies as a mathematical model in the context of the inclusion criteria. It also examines clinical outcomes in AHIV patients, specifically complications following spine surgery, thereby presenting a clinical outcome related to infectious diseases (HIV).",https://dx.doi.org/10.3390/jcm12041458
302-20,80,The impact of needle-exchange programs on the spread of HIV among injection drug users: a simulation study,"Objective. To determine the impact of the implementation of a needle-exchange program (NEP) on the spread of human immunodeficiency virus (HIV) in an injection drug user (IDU) community. We conducted a Monte Carlo simulation study of a theoretical population of 10,000 IDUs. The population was followed monthly from 1984 to 2000. HIV was assumed to be transmitted only by needle sharing. The NEP was introduced in 1989 and evaluated over a period of 11 years. The impacts of the proportion of the population attending the NEP, the risk level of IDUs attending the NEP, the reduction in needle-sharing frequency, and the number of new needle-sharing partners acquired at the NEP on prevalence and incidence of HIV were determined. Increasing the proportion of the population who always attend the NEP and eliminating needle-sharing incidents among IDUs who always attended the NEP were the most effective ways of reducing the spread of HIV. Attracting high-risk users instead of lower risk users to the NEP also reduced the spread of HIV, but to a lesser extent. NEPs are effective at reducing the spread of HIV; even under the worst case scenario of low risk users more likely to attend the NEP, one additional partner per month as a result of attending the NEP, and poor NEP attendance, the estimated prevalence was still less than that from the scenario without an NEP. Under our model, NEPs were shown to reduce the spread of HIV significantly. Efforts should be focused on getting as many IDUs as possible to become regular NEP attenders and stop sharing needles rather than partially reducing the frequency of sharing by a larger number of IDUs.",NA, Journal Article,403027,2003,"Jun Research Support, Non-U.S. Gov't",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med5&DO=10.1093%2fjurban%2fjtg033,Journal of Urban Health,316361,The impact of needle-exchange programs on the spread of HIV among injection drug users: a simulation study,"Raboud, J M Boily, M C Rajeswaran, J O'Shaughnessy, M V Schechter, M T",2,1099-3460,"12791806 HIV Infections/co [Complications] HIV Infections/ep [Epidemiology] *HIV Infections/pc [Prevention & Control] HIV Infections/tm [Transmission] Humans Monte Carlo Method Needle Sharing/ae [Adverse Effects] *Needle-Exchange Programs *Program Evaluation Substance Abuse, Intravenous/co [Complications] *Substance Abuse, Intravenous/vi [Virology]",Include,"The study utilizes a Monte Carlo simulation, a type of mathematical model, to evaluate the impact of needle-exchange programs on the spread of HIV among injection drug users. It presents clinical outcomes related to HIV prevalence and incidence within a human population (IDUs), meeting the inclusion criteria for health outcomes of an infectious disease.",https://dx.doi.org/10.1093/jurban/jtg033
97-108,37,The LYMFASIM simulation program for modeling lymphatic filariasis and its control,"The LYMFASIM modeling framework for the transmission and control of the tropical parasitic disease lymphatic filariasis is described and its use in the context of an endemic community in north-eastern Brazil is illustrated. Lymphatic filariasis is a disease with a complex natural history with many unknowns. This complicates decision making with respect to control strategies. With LYMFASIM, a variety of hypotheses can be tested about the life history of the parasite Wuchereria bancrofti, its transmission from man to man through mosquitoes, the role of the immune system in regulating parasite numbers, the development of disease symptoms, and the effects of control measures (drug treatment or mosquito control). The implications of alternative assumptions and uncertainty about the quantification of parameters for the effectiveness of control strategies can be investigated. Thanks to the use of stochastic microsimulation, LYMFASIM is highly flexible and can be adapted and extended as new knowledge emerges.",Brazil, Journal Article,436148,1998,Jan,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med4&AN=9550853,Methods of Information in Medicine,23043,The LYMFASIM simulation program for modeling lymphatic filariasis and its control,"Plaisier, A P Subramanian, S Das, P K Souza, W Lapa, T Furtado, A F Van der Ploeg, C P Habbema, J D van Oortmarssen, G J",1,0026-1270,"9550853 Animals Brazil Child Child, Preschool *Computer Simulation *Decision Making, Computer-Assisted Elephantiasis, Filarial/ep [Epidemiology] Elephantiasis, Filarial/ps [Parasitology] Elephantiasis, Filarial/pp [Physiopathology] *Elephantiasis, Filarial/pc [Prevention & Control] Female Humans Infant Infant, Newborn Male *Models, Biological Wuchereria bancrofti/ph [Physiology]",Include,"The abstract describes LYMFASIM, a simulation framework for the transmission and control of lymphatic filariasis, meeting the inclusion criteria for mathematical models, specifically a stochastic microsimulation. It also includes disease control outcomes (e.g., drug treatment or mosquito control), which are relevant to the infected population and align with health system results. Therefore, it qualifies as an original research article focusing on infectious disease modeling with clinical and health system outcomes.",
2814-20,14,"The outcomes of kidney transplantation in hepatitis B surface antigen (HBsAg)-negative recipients receiving graft from HBsAg-positive donors: a retrospective, propensity score-matched study","The outcomes of kidney transplantation (KT) from hepatitis B surface antigen-positive [HBsAg(+)] donors to HBsAg(-) recipients remain inconclusive, possibly due to substantial differences in methodological and statistical models, number of patients, follow-up duration, hepatitis B virus (HBV) prophylactic regimens and hepatitis B surface antibody (anti-HBs) levels. The present retrospective, longitudinal study (clinicaltrial.gov NCT02044588) using propensity score matching technique was conducted to compare outcomes of KT between HBsAg(-) recipients with anti-HBs titer above 100 mIU/mL undergoing KT from HBsAg(+) donors (n = 43) and HBsAg(-) donors (n = 86). During the median follow-up duration of 58.2 months (range 16.7-158.3 months), there were no significant differences in graft and patient survivals. No HBV-infective markers, including HBsAg, hepatitis B core antibody, hepatitis B extracellular antigen and HBV DNA quantitative test were detected in HBsAg(+) donor group. Renal pathology outcomes revealed comparable incidences of kidney allograft rejection while there were no incidences of HBV-associated glomerulonephritis and viral antigen staining. Recipients undergoing KT from HBsAg(+) donors with no HBV prophylaxis (n = 20) provided comparable outcomes with those treated with lamivudine alone (n = 21) or lamivudine in combination with HBV immunoglobulin (n = 2). In conclusion, KT without HBV prophylaxis from HBsAg(+) donors without hepatitis B viremia to HBsAg(-) recipients with anti-HBs titer above 100 mIU/mL provides excellent graft and patient survivals without evidence of HBV transmission.",NA, Journal Article,250670,2014,Dec,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med11&DO=10.1111%2fajt.12921,American Journal of Transplantation,353467,"The outcomes of kidney transplantation in hepatitis B surface antigen (HBsAg)-negative recipients receiving graft from HBsAg-positive donors: a retrospective, propensity score-matched study","Chancharoenthana, W Townamchai, N Pongpirul, K Kittiskulnam, P Leelahavanichkul, A Avihingsanon, Y Suankratay, C Wattanatorn, S Kittikowit, W Praditpornsilpa, K Tungsanga, K Eiam-Ong, S",12,1600-6143,"25395260 Antiviral Agents/tu [Therapeutic Use] Female Follow-Up Studies Glomerular Filtration Rate Graft Rejection/dt [Drug Therapy] *Graft Rejection/ep [Epidemiology] Graft Rejection/me [Metabolism] Graft Survival Hepatitis B/dt [Drug Therapy] *Hepatitis B/ep [Epidemiology] Hepatitis B/me [Metabolism] *Hepatitis B Surface Antigens/me [Metabolism] Hepatitis B virus/ph [Physiology] Humans Incidence *Kidney Failure, Chronic/su [Surgery] Kidney Function Tests *Kidney Transplantation Lamivudine/tu [Therapeutic Use] Longitudinal Studies Male Middle Aged *Postoperative Complications Prognosis Propensity Score Retrospective Studies Risk Factors Thailand/ep [Epidemiology] *Tissue Donors 0 (Antiviral Agents) 0 (Hepatitis B Surface Antigens) 2T8Q726O95 (Lamivudine)",Include,"The study utilizes a statistical model (propensity score matching) to analyze clinical outcomes of kidney transplantation involving HBsAg-positive and HBsAg-negative parties, which meets the criteria for inclusion. It also presents clinical outcomes related to infectious disease (HBV), fulfilling the requirement for a health outcome within an infected population. Therefore, it meets the inclusion criteria for a literature review focused on infectious disease outcomes with a mathematical or statistical modeling component.",https://dx.doi.org/10.1111/ajt.12921
264-275,8,The unequal effects of the health-economy trade-off during the COVID-19 pandemic,"Despite the global impact of the coronavirus disease 2019 pandemic, the question of whether mandated interventions have similar economic and public health effects as spontaneous behavioural change remains unresolved. Addressing this question, and understanding differential effects across socioeconomic groups, requires building quantitative and fine-grained mechanistic models. Here we introduce a data-driven, granular, agent-based model that simulates epidemic and economic outcomes across industries, occupations and income levels. We validate the model by reproducing key outcomes of the first wave of coronavirus disease 2019 in the New York metropolitan area. The key mechanism coupling the epidemic and economic modules is the reduction in consumption due to fear of infection. In counterfactual experiments, we show that a similar trade-off between epidemic and economic outcomes exists both when individuals change their behaviour due to fear of infection and when non-pharmaceutical interventions are imposed. Low-income workers, who perform in-person occupations in customer-facing industries, face the strongest trade-off.",New York metropolitan area, Journal Article,17312,2024,Feb,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med25&DO=10.1038%2fs41562-023-01747-x Aleta, Alberto. Institute for Biocomputation and Physics of Complex Systems and Department of Theoretical Physics, University of Zaragoza, Zaragoza, Spain. Del Rio-Chanona, R Maria. Complexity Science Hub, Vienna, Austria. Pichler, Anton. Complexity Science Hub, Vienna, Austria. Martin-Corral, David. Department of Mathematics and GISC, Universidad Carlos III de Madrid, Leganes, Spain. Chinazzi, Matteo. MOBS Lab, Northeastern University, Boston, MA, USA. Chinazzi, Matteo. The Roux Institute, Northeastern University, Portland, ME, USA. Lafond, Francois. Institute for New Economic Thinking at the Oxford Martin School, and Smith School of Enterprise and the Environment, University of Oxford, Oxford, UK. Ajelli, Marco. Laboratory for Computational Epidemiology and Public Health, Department of Epidemiology and Biostatistics, Indiana University School of Public Health, Bloomington, IN, USA. Moro, Esteban. Department of Mathematics and GISC, Universidad Carlos III de Madrid, Leganes, Spain. Moro, Esteban. Connection Science, Institute for Data Science and Society, MIT, Cambridge, MA, USA. Moreno, Yamir. CENTAI Institute, Turin, Italy. Moreno, Yamir. Institute for Biocomputation and Physics of Complex Systems and Department of Theoretical Physics, University of Zaragoza, Zaragoza, Spain. Moreno, Yamir. Complexity Science Hub, Vienna, Austria. Vespignani, Alessandro. MOBS Lab, Northeastern University, Boston, MA, USA. Farmer, J Doyne. Institute for New Economic Thinking at the Oxford Martin School, and Smith School of Enterprise and the Environment, University of Oxford, Oxford, UK. Farmer, J Doyne. Santa Fe Institute, Santa Fe, NM, USA.",Nature Human Behaviour,255458,The unequal effects of the health-economy trade-off during the COVID-19 pandemic,"Pangallo, Marco Aleta, Alberto Del Rio-Chanona, R Maria Pichler, Anton Martin-Corral, David Chinazzi, Matteo Lafond, Francois Ajelli, Marco Moro, Esteban Moreno, Yamir Vespignani, Alessandro Farmer, J Doyne U01 IP001137",2,2397-3374,37973827 *covid-19 Pandemics/pc [Prevention & Control] Occupations Public Health New York,Include,"The abstract describes a study using an agent-based mechanistic model, which qualifies as a mathematical model. It presents economic outcomes related to infectious disease (COVID-19), addressing both epidemic and economic impacts, thus fulfilling the criteria of including at least one health system or economic outcome. Therefore, it meets the inclusion criteria for the literature review.",https://dx.doi.org/10.1038/s41562-023-01747-x
1611-1619,43,Trends in mortality in patients with systemic autoimmune rheumatic diseases (SARD) during the COVID-19 pandemic in Mexico,"The study aimed to analyze the influence of the COVID-19 pandemic on mortality rates in patients with systemic autoimmune rheumatic diseases (SARD) in Mexico. We selected SARD-related deaths using National Open Data and Information from the Ministry of Health, Mexico, and ICD-10 codes. We assessed the observed compared to the predicted mortality values for 2020 and 2021, employing trends from 2010 to 2019 with joinpoint and prediction modelling analyses. Among 12,742 deaths due to SARD between 2010 and 2021, the age-standardized mortality rate (ASMR) increased significantly between 2010 and 2019 (pre-pandemic) (annual percentage change [APC] 1.1%; 95% CI 0.2-2.1), followed by a non-significant decrease during the pandemic period (APC 13.9%; 95% CI 13.9-5.3). In addition, the observed ASMR of 1.19 for 2020 for SARD and of 1.14 for 2021 were lower than the predicted values of 1.25 (95% CI 1.22-1.28) for 2020 and 1.25 (95% CI 1.20-1.30) for 2021. Similar findings were identified for specific SARD, mainly systemic lupus erythematosus (SLE), or by sex or age group. Interestingly, the observed mortality rates for SLE in the Southern region of 1.00 in 2020 and 1.01 in 2021 were both significantly greater than the predicted values of 0.71 (95% CI 0.65-0.77) in 2020 and 0.71 (95% CI 0.63-0.79). In Mexico, the observed SARD mortality rates were not higher than the expected values during the pandemic, except for SLE in the Southern region. No differences by sex or age group were identified.",Mexico; Southern region of Mexico, Journal Article,39442,2023,9,"https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med24&DO=10.1007%2fs00296-023-05371-w Munguia-Realpozo, Pamela. Department of Rheumatology, Medicine School, Benemerita Universidad Autonoma de Puebla, Calle 13 Sur 2702, Los Volcanes, 72420, Puebla, Mexico. Mendoza-Pinto, Claudia. Systemic Autoimmune Diseases Research Unit, Specialties Hospital UMAE-CIBIOR, Instituto Mexicano del Seguro Social, Puebla, Mexico. Mendoza-Pinto, Claudia. Department of Rheumatology, Medicine School, Benemerita Universidad Autonoma de Puebla, Calle 13 Sur 2702, Los Volcanes, 72420, Puebla, Mexico. Etchegaray-Morales, Ivet. Department of Rheumatology, Medicine School, Benemerita Universidad Autonoma de Puebla, Calle 13 Sur 2702, Los Volcanes, 72420, Puebla, Mexico. ivetcheg@gmail.com. Solis-Poblano, Juan Carlos. Department of Haematology, Specialties Hospital UMAE, Instituto Mexicano del Seguro Social, Puebla, Mexico. Ayon-Aguilar, Jorge. Coordinacion Medica de Investigacion en Salud, Instituto Mexicano del Seguro Social, Delegacion Puebla, Puebla, Mexico. Ramirez-Lara, Edith. Systemic Autoimmune Diseases Research Unit, Specialties Hospital UMAE-CIBIOR, Instituto Mexicano del Seguro Social, Puebla, Mexico. Orbe-Sosa, Jacsiry. Department of Rheumatology, Medicine School, Benemerita Universidad Autonoma de Puebla, Calle 13 Sur 2702, Los Volcanes, 72420, Puebla, Mexico. Mendez-Martinez, Socorro. Coordinacion de Planeacion y Enlace Institucional, Instituto Mexicano del Seguro Social, Delegacion Puebla, Puebla, Mexico. Garcia-Carrasco, Mario. Department of Rheumatology, Medicine School, Benemerita Universidad Autonoma de Puebla, Calle 13 Sur 2702, Los Volcanes, 72420, Puebla, Mexico.",Rheumatology International,100116,Trends in mortality in patients with systemic autoimmune rheumatic diseases (SARD) during the COVID-19 pandemic in Mexico,"Munguia-Realpozo, Pamela Mendoza-Pinto, Claudia Etchegaray-Morales, Ivet Solis-Poblano, Juan Carlos Ayon-Aguilar, Jorge Ramirez-Lara, Edith Orbe-Sosa, Jacsiry Mendez-Martinez, Socorro Garcia-Carrasco, Mario",9,1437-160X,"37349634 *Autoimmune Diseases Pandemics Mexico/ep [Epidemiology] *covid-19 *Lupus Erythematosus, Systemic *Rheumatic Diseases",Include,"The abstract presents a prediction modeling analysis, which falls under mathematical models, meeting the inclusion criteria. It assesses clinical outcomes (mortality) in humans affected by an infectious disease (COVID-19) on systemic autoimmune rheumatic diseases, fulfilling the requirement for presenting clinical outcomes linked to infectious diseases.",https://dx.doi.org/10.1007/s00296-023-05371-w
1127-37,145,Uncertainty and sensitivity analysis of the basic reproductive rate. Tuberculosis as an example,"The basic reproductive rate (R0) is a measure of the severity of an epidemic. On the basis of replicated Latin hypercube sampling, the authors performed an uncertainty and sensitivity analysis of the basic reproductive rate of tuberculosis (TB). The uncertainty analysis allowed for the derivation of a frequency distribution for R0 and the assessment of the relative contribution each of the three components of R0 made when TB epidemics first arose centuries ago. (The three components of R0 are associated with fast, slow, and relapse TB.) R0 estimates indicated the existence of fairly severe epidemics when TB epidemics first arose. The R0 for the susceptible persons who developed TB slowly (R0(slow)) contributed the most to the R0 estimates; however, the relative R0(slow) contribution decreased as the severity of TB epidemics increased. The sensitivity of the magnitude of R0 to the uncertainty in estimating values of each of the input parameters was assessed. These results indicated that five of the nine input parameters, because of their estimation uncertainty, were influential in determining the magnitude of R0. This uncertainty and sensitivity methodology provides results that can aid investigators in understanding the historical epidemiology of TB by quantifying the effect of the transmission processes involved. Additionally, this method can be applied to the R0 of any other infectious disease to estimate the probability of an epidemic outbreak.",NA, Journal Article,440176,1997,"Jun 15 Research Support, U.S. Gov't, P.H.S.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med4&DO=10.1093%2foxfordjournals.aje.a009076,American Journal of Epidemiology,320722,Uncertainty and sensitivity analysis of the basic reproductive rate. Tuberculosis as an example,"Sanchez, M A Blower, S M 1R29DA08153 AI33831 D43-TW00003",12,0002-9262,"9199543 Aged *Disease Outbreaks/sn [Statistics & Numerical Data] Disease Transmission, Infectious Humans Incidence Life Expectancy Middle Aged *Models, Statistical Population Dynamics *Reproduction Sample Size Survival Rate *Tuberculosis/ep [Epidemiology] Tuberculosis/tm [Transmission]",Include,"The abstract describes a study that involves a mathematical model (specifically a statistical model using replicated Latin hypercube sampling) applied to an infectious disease (tuberculosis). It conducts an uncertainty and sensitivity analysis of R0, a key parameter in infectious disease modeling. The study's focus on R0 pertains to the clinical and epidemiological outcomes of an infectious disease, meeting the inclusion criteria. No exclusion criteria are met.",https://dx.doi.org/10.1093/oxfordjournals.aje.a009076
